InputSize,ProgramSize,BSS,RoData,Text,InputType,STSclass
1051,1097,103,3365,15836,Constant,Very short burst
9014,29619,17,4881,6145,Random,Short burst
2179,15525,481,2823,37939,Sorted,Medium burst
2817,7645,348,1934,9175,Sorted,Very short burst
4624,36170,268,2314,2514,Random,Short burst
9792,42223,64,1974,16451,Random,Medium burst
8577,8194,920,4095,38704,Reverse Sorted,Medium burst
7411,5330,557,2531,49393,Constant,Long burst
7286,24430,15,1940,17882,Sorted,Medium burst
2165,24252,386,3175,12433,Sorted,Short burst
868,43102,563,991,2369,Random,Short burst
5590,10989,59,1665,15068,Constant,Short burst
6745,33192,121,2018,42658,Sorted,Long burst
5183,16268,155,3272,9116,Sorted,Short burst
5332,43632,239,4200,44687,Reverse Sorted,Very long burst
5897,2660,732,1521,27826,Reverse Sorted,Short burst
9238,46536,506,1108,44453,Reverse Sorted,Very long burst
5026,20633,315,1056,32237,Sorted,Medium burst
6116,47753,551,3240,6364,Sorted,Medium burst
3435,36190,470,1270,1090,Reverse Sorted,Short burst
8138,23370,816,4711,13086,Reverse Sorted,Medium burst
4973,24996,637,4916,12389,Constant,Short burst
1581,37072,917,1847,17855,Sorted,Medium burst
6405,2868,235,2921,39852,Sorted,Medium burst
3551,48425,68,563,43225,Random,Very long burst
154,41361,85,1667,28384,Reverse Sorted,Long burst
7743,37200,437,4567,2111,Reverse Sorted,Short burst
3562,29703,737,4662,34365,Reverse Sorted,Long burst
932,12052,141,3807,12408,Sorted,Short burst
6054,6108,941,2082,25002,Constant,Short burst
8619,46167,507,3260,18738,Sorted,Long burst
7321,22985,825,754,41645,Random,Long burst
3410,42560,919,1723,13138,Random,Medium burst
3400,10362,602,3749,12427,Constant,Short burst
6822,38799,314,2141,11896,Reverse Sorted,Medium burst
7318,10912,76,2898,3389,Random,Very short burst
7876,21854,239,4364,16360,Sorted,Medium burst
3775,6844,992,4713,37843,Random,Medium burst
3154,41155,342,1827,29226,Random,Long burst
8070,18493,914,4403,17847,Constant,Medium burst
2243,29182,286,942,48565,Constant,Long burst
5307,49426,882,1021,18456,Sorted,Long burst
9603,28915,593,152,6446,Reverse Sorted,Short burst
2638,19823,730,1157,17857,Constant,Short burst
4647,18497,793,3296,38751,Constant,Long burst
5719,4179,153,3762,34706,Reverse Sorted,Medium burst
8456,29989,260,3467,15703,Random,Medium burst
6712,40808,805,4201,18694,Sorted,Medium burst
5105,9988,700,3709,40959,Sorted,Medium burst
922,40342,961,4976,16058,Random,Medium burst
1043,4496,89,969,5056,Reverse Sorted,Very short burst
6250,6195,66,4602,13855,Reverse Sorted,Short burst
4525,30704,375,4277,24488,Constant,Medium burst
9066,23882,317,4638,16772,Reverse Sorted,Medium burst
2298,14735,183,2207,24116,Sorted,Short burst
4342,2866,471,631,34027,Sorted,Medium burst
3795,27967,759,845,2656,Sorted,Short burst
3552,47432,687,3247,44915,Reverse Sorted,Very long burst
9206,7264,605,1933,29855,Random,Medium burst
1408,25860,502,3417,45079,Sorted,Long burst
4277,48795,569,859,40058,Sorted,Very long burst
8805,32423,648,2983,6913,Random,Medium burst
6952,30675,690,3318,8973,Constant,Short burst
6135,16792,875,4918,17975,Reverse Sorted,Short burst
3694,2114,383,3034,43392,Sorted,Medium burst
4941,21439,964,622,14305,Reverse Sorted,Short burst
1509,47664,358,1256,11679,Sorted,Medium burst
4666,19300,76,4954,22961,Sorted,Medium burst
4591,23746,339,3130,1228,Constant,Short burst
1655,32188,861,2510,16643,Random,Medium burst
904,28462,203,1791,28355,Random,Medium burst
1379,30264,164,4055,43328,Random,Long burst
7183,32970,169,4975,19008,Constant,Medium burst
6086,39001,705,2663,24474,Constant,Long burst
5719,3716,275,1765,4979,Random,Very short burst
1487,22572,177,1619,47343,Reverse Sorted,Long burst
2779,28742,154,726,1739,Reverse Sorted,Short burst
2206,37632,195,1883,40289,Constant,Long burst
8273,45537,895,2563,20558,Reverse Sorted,Long burst
4323,18361,874,850,38817,Random,Medium burst
4931,47097,783,1191,27646,Sorted,Long burst
2868,5460,432,3102,39154,Reverse Sorted,Medium burst
3286,19281,795,2081,33272,Random,Medium burst
2673,41569,466,1558,38339,Random,Long burst
2699,31626,849,1160,49055,Random,Long burst
4133,42109,354,4379,15260,Reverse Sorted,Medium burst
8528,23078,744,962,7594,Sorted,Short burst
1404,40998,563,1105,14185,Reverse Sorted,Medium burst
7468,18383,525,4239,13572,Random,Short burst
5977,30282,797,1800,41248,Random,Long burst
1401,17479,805,3221,18569,Random,Short burst
2641,34246,945,4203,17973,Constant,Medium burst
2151,1230,714,3062,5217,Reverse Sorted,Very short burst
6909,556,113,3478,8648,Sorted,Very short burst
8733,31957,256,3612,18519,Reverse Sorted,Medium burst
9096,2743,821,406,47318,Random,Long burst
174,2201,32,4441,32953,Random,Short burst
7081,8803,962,4670,20804,Constant,Short burst
5575,15600,824,1667,11750,Random,Short burst
8332,46266,534,1673,1001,Reverse Sorted,Medium burst
7284,42661,153,1715,18275,Reverse Sorted,Medium burst
5896,1447,739,3249,8882,Reverse Sorted,Very short burst
7241,21005,704,4546,46854,Random,Long burst
1722,7053,872,1645,13748,Constant,Short burst
8141,34025,763,2039,33601,Reverse Sorted,Long burst
441,15366,202,2836,28575,Sorted,Medium burst
2174,30972,474,578,33369,Sorted,Long burst
8092,44848,793,2654,45617,Sorted,Very long burst
745,6151,384,3245,16317,Reverse Sorted,Short burst
4363,7773,686,2457,46109,Constant,Long burst
8901,10533,701,113,29318,Random,Medium burst
6236,4035,638,4010,47546,Constant,Long burst
8746,19177,275,2862,37972,Random,Long burst
10000,17988,387,2871,42239,Random,Long burst
3069,42121,559,4077,23168,Random,Medium burst
3128,1408,565,151,19082,Random,Short burst
7743,5117,872,3398,12079,Reverse Sorted,Short burst
2781,43316,83,3348,3884,Sorted,Short burst
3729,30931,447,3144,28861,Reverse Sorted,Medium burst
4325,23953,890,2941,37347,Constant,Long burst
3167,35579,235,3185,8195,Random,Short burst
6041,16520,828,1230,3251,Reverse Sorted,Short burst
1486,46853,317,2936,5640,Reverse Sorted,Medium burst
2966,47285,975,2778,19740,Reverse Sorted,Medium burst
4888,49823,357,2742,49761,Random,Very long burst
5590,45820,485,448,13815,Random,Medium burst
4224,27062,324,454,43891,Random,Long burst
8440,24873,534,2923,42968,Reverse Sorted,Long burst
3950,46605,434,3318,30913,Reverse Sorted,Long burst
5515,30664,533,2744,13904,Constant,Medium burst
7779,2385,571,2132,19462,Sorted,Short burst
6919,1549,834,2517,36482,Sorted,Medium burst
9428,43771,955,4522,7947,Random,Medium burst
8478,1661,258,4365,2338,Sorted,Very short burst
9542,1315,640,1971,13782,Random,Short burst
1433,37034,578,4009,21073,Random,Medium burst
4250,27998,191,1590,7614,Reverse Sorted,Short burst
6866,25537,971,2439,1741,Sorted,Short burst
2811,36507,785,4898,31210,Constant,Long burst
4953,14442,115,2513,1733,Random,Very short burst
6312,27778,200,3418,14944,Random,Medium burst
7579,8772,146,3035,2806,Constant,Very short burst
5508,34137,709,729,14285,Sorted,Medium burst
7815,38794,129,797,44338,Constant,Very long burst
9042,8241,763,2903,12457,Sorted,Short burst
1862,5194,840,1371,2753,Sorted,Very short burst
7201,30806,81,3798,41126,Sorted,Long burst
7774,2434,764,4200,15587,Sorted,Short burst
6222,22056,140,4839,6857,Sorted,Short burst
581,49586,466,583,34792,Sorted,Long burst
253,19407,790,1868,43442,Random,Long burst
7717,6659,914,4250,23148,Reverse Sorted,Short burst
1624,48987,488,2391,37322,Random,Long burst
2220,29658,994,2472,10971,Random,Short burst
2443,20793,61,4595,12908,Constant,Short burst
5236,46261,583,1518,22202,Reverse Sorted,Long burst
5860,47081,128,4957,27692,Reverse Sorted,Long burst
1340,34432,886,4535,5566,Reverse Sorted,Short burst
160,33887,273,1285,32019,Sorted,Medium burst
9230,41250,248,2764,15022,Sorted,Medium burst
1739,3566,360,1758,44925,Sorted,Medium burst
6285,21756,902,1195,44720,Random,Long burst
8070,41906,264,1525,40662,Reverse Sorted,Very long burst
1352,35605,694,3973,28030,Reverse Sorted,Medium burst
4303,6094,318,2971,40850,Random,Medium burst
8463,2960,758,1905,45714,Sorted,Long burst
9750,7320,840,3274,20752,Constant,Short burst
3649,36710,616,4014,36397,Reverse Sorted,Long burst
4297,16691,858,3429,26104,Random,Medium burst
7109,19595,504,4988,21616,Sorted,Medium burst
6767,49594,66,1654,31938,Random,Long burst
2422,11029,959,3329,7661,Constant,Very short burst
9928,32675,412,601,27047,Constant,Long burst
4190,18175,76,2054,40043,Sorted,Long burst
7060,43658,55,1886,43995,Random,Very long burst
3104,47298,615,1174,47442,Sorted,Very long burst
5236,5874,659,1432,26943,Random,Short burst
429,26476,378,1820,35487,Random,Medium burst
3740,13642,614,3913,10233,Constant,Short burst
8082,12704,241,3450,4487,Random,Short burst
4207,7894,411,84,25559,Random,Short burst
1441,34093,917,2254,6844,Constant,Short burst
8507,42464,570,3394,42519,Reverse Sorted,Very long burst
438,12152,32,3064,27140,Reverse Sorted,Short burst
5995,34240,583,4541,12416,Reverse Sorted,Medium burst
2808,44536,276,4352,23859,Reverse Sorted,Long burst
1850,943,850,1830,23253,Random,Short burst
5704,24403,127,1678,40230,Reverse Sorted,Long burst
2521,34022,961,1379,19184,Reverse Sorted,Medium burst
7219,28680,609,1609,28846,Random,Medium burst
9001,49291,610,854,31221,Reverse Sorted,Long burst
5419,21619,64,2559,43771,Reverse Sorted,Long burst
6709,10863,162,4397,22459,Sorted,Short burst
5487,44165,248,1340,16498,Reverse Sorted,Medium burst
4093,38664,274,4354,5262,Sorted,Short burst
8780,32041,277,2636,33914,Reverse Sorted,Long burst
8144,3965,916,4980,46500,Random,Long burst
8338,3211,122,2600,35885,Reverse Sorted,Medium burst
4973,25698,175,1005,39215,Constant,Long burst
4906,22988,677,4659,22398,Random,Medium burst
8692,39015,17,629,44623,Reverse Sorted,Very long burst
6013,24108,723,1987,30924,Reverse Sorted,Medium burst
7224,28398,226,2047,1318,Random,Short burst
3257,2419,440,1715,13161,Constant,Very short burst
490,31671,301,2180,13323,Random,Short burst
4530,46741,902,3790,6749,Constant,Medium burst
8920,21099,59,2550,34022,Random,Long burst
7786,17465,116,1692,10528,Random,Short burst
4332,47503,18,4762,22441,Sorted,Long burst
8107,48978,754,1547,9526,Sorted,Medium burst
1621,14934,709,4652,45051,Random,Long burst
9118,46746,465,3254,38161,Sorted,Very long burst
1600,37149,332,671,2044,Reverse Sorted,Short burst
6837,2499,318,3194,13765,Reverse Sorted,Short burst
3394,15349,859,2001,19175,Reverse Sorted,Short burst
5185,11403,631,1509,49887,Sorted,Long burst
2519,47968,154,342,1961,Sorted,Short burst
9226,5945,749,704,4749,Reverse Sorted,Very short burst
3142,35896,830,3034,38333,Random,Long burst
4597,18540,421,3893,41284,Reverse Sorted,Long burst
1566,746,123,2854,17973,Sorted,Short burst
3661,31653,584,2764,19372,Constant,Medium burst
714,5712,408,1671,44799,Reverse Sorted,Medium burst
5492,3839,284,4064,44393,Reverse Sorted,Medium burst
7793,23642,133,3303,36757,Sorted,Long burst
9474,19894,95,2896,39433,Sorted,Long burst
3323,35636,591,4930,5541,Sorted,Short burst
7238,12686,56,4912,31678,Sorted,Medium burst
2767,35107,720,3555,19344,Reverse Sorted,Medium burst
8080,39473,885,568,46154,Sorted,Very long burst
230,4895,953,2735,9846,Constant,Very short burst
3083,15790,210,77,34846,Random,Medium burst
4378,22651,285,315,36842,Sorted,Long burst
7226,4191,558,1356,43315,Sorted,Medium burst
8330,7970,724,4103,6029,Reverse Sorted,Short burst
7794,4341,139,3504,17272,Random,Short burst
6740,37616,457,860,49613,Random,Very long burst
5568,18276,991,4726,24770,Random,Medium burst
1020,6560,813,3440,14104,Sorted,Short burst
7664,28084,398,660,16855,Reverse Sorted,Medium burst
8784,48793,585,4338,38524,Reverse Sorted,Very long burst
9423,4800,272,2324,38463,Sorted,Medium burst
8602,3838,975,4596,1919,Random,Very short burst
9030,5987,641,252,43706,Random,Long burst
3341,36782,287,451,35526,Reverse Sorted,Long burst
645,30029,723,2077,35599,Constant,Long burst
4446,30762,55,3900,10363,Sorted,Short burst
3910,11780,177,939,15255,Constant,Short burst
7306,43575,454,228,4810,Constant,Medium burst
9105,29304,631,2029,2440,Random,Short burst
2132,10415,55,2560,44879,Constant,Medium burst
8536,11658,733,2932,2719,Sorted,Very short burst
371,9121,549,4034,45213,Reverse Sorted,Medium burst
3611,11047,96,2094,1555,Sorted,Very short burst
1871,23677,812,3033,43193,Sorted,Long burst
9554,46753,394,400,13112,Sorted,Medium burst
4461,2959,678,4332,3297,Sorted,Very short burst
7169,29268,274,3468,2535,Constant,Short burst
1020,38541,786,3880,15931,Random,Medium burst
8290,42725,31,2017,7282,Reverse Sorted,Medium burst
3530,38691,777,4454,29634,Random,Long burst
4535,17934,712,2274,45262,Constant,Long burst
3860,38747,459,4572,26485,Random,Long burst
2150,15919,985,2837,35729,Random,Medium burst
1265,35517,241,4676,25587,Constant,Medium burst
8667,36077,195,4393,34747,Random,Long burst
2133,3421,335,4361,34040,Reverse Sorted,Medium burst
6567,5176,192,4858,46543,Constant,Long burst
245,20925,406,487,24641,Reverse Sorted,Medium burst
4488,35685,490,2408,27573,Random,Long burst
7932,13963,412,3904,6144,Sorted,Short burst
8723,25974,472,432,2688,Sorted,Short burst
8996,41435,426,4266,49088,Constant,Very long burst
8273,1969,211,456,18979,Sorted,Short burst
2732,7792,74,4390,32803,Sorted,Medium burst
4594,25909,965,115,17154,Sorted,Medium burst
8156,24026,917,3039,38451,Constant,Long burst
7611,23965,564,277,16123,Reverse Sorted,Medium burst
9255,31455,742,2234,24998,Sorted,Medium burst
1928,27285,26,2291,6786,Constant,Short burst
9230,21533,845,4851,31289,Reverse Sorted,Long burst
4905,7431,806,4803,6129,Constant,Very short burst
906,1591,192,1562,29914,Sorted,Short burst
9755,26272,400,979,26777,Sorted,Medium burst
7586,16863,53,4086,3845,Random,Short burst
8302,28990,982,2653,9448,Random,Short burst
1968,760,910,1230,28139,Random,Short burst
7978,10956,709,1089,22718,Reverse Sorted,Medium burst
5790,22820,911,1151,24581,Constant,Medium burst
7927,13935,491,2149,28993,Reverse Sorted,Medium burst
5529,42645,272,563,43048,Random,Very long burst
9176,49081,183,4889,13923,Random,Long burst
3664,27525,450,3182,14084,Sorted,Short burst
1489,28609,575,1882,18560,Reverse Sorted,Medium burst
7374,21254,229,4688,23567,Sorted,Medium burst
924,4801,567,2507,20481,Sorted,Short burst
2365,7707,403,2252,33016,Constant,Medium burst
1036,28420,781,2730,12422,Random,Short burst
6502,22703,204,2148,2724,Sorted,Short burst
3945,49744,418,3216,31471,Sorted,Long burst
1896,22045,480,1977,3628,Random,Short burst
8345,24516,356,4500,28875,Random,Medium burst
7314,31598,471,3166,18734,Constant,Medium burst
826,9056,70,2937,25109,Constant,Short burst
2836,47063,175,4393,1619,Sorted,Short burst
2013,20602,681,4678,14786,Sorted,Short burst
9888,39393,160,3580,29634,Sorted,Long burst
7757,2424,120,839,22927,Reverse Sorted,Short burst
2566,19979,497,1350,10729,Constant,Short burst
9141,39951,558,1997,23237,Sorted,Long burst
7412,19422,12,2292,37540,Random,Long burst
8294,19160,492,1144,36301,Constant,Long burst
8006,46599,22,1408,42437,Constant,Very long burst
4976,10445,171,3706,22735,Sorted,Short burst
7387,806,353,357,35808,Reverse Sorted,Medium burst
992,23459,458,1500,18949,Sorted,Short burst
4775,4731,341,2173,21509,Reverse Sorted,Short burst
2033,39296,273,4932,30398,Reverse Sorted,Long burst
1480,12707,92,2892,5268,Random,Very short burst
1390,39926,786,1714,36607,Sorted,Long burst
1740,6836,933,3998,45507,Reverse Sorted,Medium burst
7590,47164,343,1444,48826,Constant,Very long burst
9279,10130,389,4122,41944,Sorted,Long burst
1318,17756,228,3684,40308,Reverse Sorted,Medium burst
5116,34409,667,264,13412,Constant,Medium burst
6981,41668,819,3122,36511,Random,Long burst
9647,34219,818,4104,28150,Random,Long burst
9852,42517,463,4522,6642,Sorted,Medium burst
9710,46204,682,2509,11069,Sorted,Medium burst
1054,30513,750,3756,32832,Sorted,Medium burst
9275,14955,755,3321,2026,Sorted,Short burst
7391,5222,98,1256,4592,Sorted,Very short burst
1074,13312,342,459,1987,Reverse Sorted,Very short burst
4233,30776,319,3519,16917,Constant,Medium burst
5470,37276,736,265,8238,Sorted,Medium burst
4072,10560,429,4897,36515,Constant,Medium burst
5395,13556,618,398,9330,Reverse Sorted,Short burst
9205,7155,734,3701,6650,Reverse Sorted,Short burst
8328,23074,363,2928,38264,Reverse Sorted,Long burst
3120,13527,833,3715,26217,Sorted,Medium burst
9087,4530,109,4799,18807,Random,Short burst
4136,24743,154,3119,26712,Random,Medium burst
5168,33789,19,4044,37489,Sorted,Long burst
5333,20239,992,3162,28865,Sorted,Medium burst
9616,34668,53,52,25633,Sorted,Long burst
417,45198,772,1167,26275,Reverse Sorted,Long burst
2496,36991,395,1132,2145,Random,Short burst
2262,30513,748,4552,22963,Random,Medium burst
2845,7079,919,1567,10300,Constant,Very short burst
1691,18742,770,4896,47697,Constant,Long burst
6283,5281,504,1945,21879,Random,Short burst
4030,20948,502,3629,7242,Random,Short burst
1412,46141,178,2683,14832,Reverse Sorted,Medium burst
9577,49794,651,2429,25683,Constant,Long burst
4411,21946,540,1062,15285,Sorted,Short burst
7414,11543,345,4314,29823,Reverse Sorted,Medium burst
2483,20353,756,2873,10097,Constant,Short burst
3339,49643,866,898,48852,Sorted,Very long burst
2239,20579,522,1754,2992,Sorted,Very short burst
1804,17601,139,4143,37890,Random,Medium burst
7024,1142,548,255,29790,Random,Short burst
462,28516,523,1942,30394,Sorted,Medium burst
2704,19432,259,570,46058,Sorted,Long burst
4386,45153,743,3626,19376,Random,Medium burst
3838,25445,956,2401,24880,Random,Medium burst
2569,8049,147,2184,20984,Random,Short burst
4895,13897,284,4888,14541,Random,Short burst
6250,25862,473,2525,29975,Constant,Medium burst
656,48342,150,4595,5010,Random,Medium burst
9117,47039,953,835,9275,Reverse Sorted,Medium burst
2908,34217,265,4147,37088,Reverse Sorted,Long burst
5250,23516,891,2840,19889,Reverse Sorted,Medium burst
7661,15232,833,2207,41596,Random,Long burst
2819,27411,465,728,41653,Sorted,Long burst
6606,18366,961,3578,41016,Sorted,Long burst
3841,43107,443,3609,41636,Constant,Very long burst
9866,28121,616,420,33155,Random,Long burst
4098,13323,182,2987,7349,Reverse Sorted,Short burst
2503,30486,482,771,24347,Sorted,Medium burst
8880,15190,964,4450,4062,Random,Short burst
9839,39607,432,973,4852,Reverse Sorted,Medium burst
394,11456,926,885,14160,Reverse Sorted,Short burst
5443,21803,448,2543,17322,Reverse Sorted,Short burst
9982,37033,66,3029,1387,Reverse Sorted,Short burst
1236,30174,507,2375,47891,Reverse Sorted,Long burst
2164,36095,623,3974,40805,Constant,Long burst
7109,2558,178,2474,7910,Reverse Sorted,Very short burst
4643,12019,998,4571,16758,Constant,Short burst
1107,31615,591,3176,3003,Reverse Sorted,Short burst
5545,1230,859,2426,26607,Reverse Sorted,Short burst
5452,2332,570,503,39513,Reverse Sorted,Medium burst
9539,41868,437,3509,26025,Reverse Sorted,Long burst
1535,23389,428,4909,4547,Constant,Short burst
671,48886,356,3551,26672,Random,Long burst
2482,40438,526,3597,42819,Sorted,Long burst
9537,4679,464,1198,15456,Constant,Short burst
5184,6799,723,572,1301,Constant,Very short burst
377,8330,211,4627,40872,Constant,Medium burst
7159,44707,188,171,32603,Random,Long burst
1987,38070,66,3668,42840,Sorted,Long burst
1365,22941,707,4726,44241,Random,Long burst
7591,7115,613,3772,21545,Sorted,Short burst
1140,7262,813,3133,41478,Sorted,Medium burst
9209,38811,915,2222,17178,Sorted,Medium burst
8173,25209,955,2756,19216,Random,Medium burst
9177,38151,510,4863,9242,Sorted,Medium burst
2852,23934,748,3357,8496,Reverse Sorted,Short burst
8313,21843,942,3692,21866,Constant,Medium burst
4669,16239,121,2867,29357,Sorted,Medium burst
6453,1166,157,4551,47252,Constant,Medium burst
2453,33544,790,1534,32212,Random,Long burst
7537,28383,724,326,6887,Random,Short burst
4899,14563,387,1298,18862,Reverse Sorted,Short burst
786,34149,886,1174,35856,Sorted,Long burst
8576,35328,924,2951,7040,Constant,Medium burst
4911,47945,357,1707,25536,Constant,Long burst
9054,39970,367,1803,14440,Constant,Medium burst
5446,9929,65,4652,48189,Random,Long burst
5143,49121,822,3708,29371,Sorted,Long burst
2528,33426,325,3452,20724,Reverse Sorted,Medium burst
5226,49264,973,4382,3343,Reverse Sorted,Medium burst
8320,38497,194,801,8188,Random,Medium burst
9198,41224,63,214,35006,Sorted,Long burst
7913,32769,46,1742,30096,Reverse Sorted,Long burst
9745,32204,732,2006,46216,Reverse Sorted,Very long burst
3456,28891,814,3910,7856,Random,Short burst
8807,24687,279,2825,23044,Constant,Medium burst
7366,45834,872,3339,11620,Reverse Sorted,Medium burst
6640,3026,741,1818,21723,Random,Short burst
138,25186,517,2473,42142,Reverse Sorted,Long burst
3442,8303,237,4576,42503,Reverse Sorted,Medium burst
9178,33168,437,3746,24475,Random,Long burst
2944,7074,879,832,31243,Random,Medium burst
1198,9233,732,3828,33860,Sorted,Medium burst
7127,7757,819,1004,3415,Reverse Sorted,Very short burst
1923,36551,10,2042,5254,Constant,Short burst
3255,16409,32,1709,11637,Constant,Short burst
3193,24646,512,190,25510,Sorted,Medium burst
5758,12302,457,769,38301,Sorted,Medium burst
3878,8396,805,1700,7516,Random,Very short burst
2996,28633,505,3623,5401,Constant,Short burst
1088,14026,909,3524,36800,Reverse Sorted,Medium burst
4216,11778,434,1065,33122,Random,Medium burst
6546,46510,709,4433,20673,Reverse Sorted,Long burst
4279,26051,27,392,30653,Constant,Medium burst
1782,25798,968,3233,44336,Random,Long burst
5726,35838,454,2751,21822,Reverse Sorted,Medium burst
7524,22691,570,1025,7867,Sorted,Short burst
1033,33592,568,2633,47944,Reverse Sorted,Long burst
3698,24371,636,3170,37002,Reverse Sorted,Long burst
2080,10221,48,1873,23381,Random,Short burst
3156,38913,738,4476,40069,Constant,Long burst
9084,30779,219,4510,18517,Reverse Sorted,Medium burst
891,14904,783,60,12830,Reverse Sorted,Short burst
5490,4986,220,4654,11589,Reverse Sorted,Short burst
6735,35698,574,2677,35830,Reverse Sorted,Long burst
2355,29187,981,1518,5627,Sorted,Short burst
3710,13656,290,1163,46910,Constant,Long burst
1707,1067,876,671,1468,Constant,Very short burst
5279,2679,842,950,2344,Random,Very short burst
6673,2519,142,3797,26454,Reverse Sorted,Short burst
1084,16419,458,4114,7098,Random,Short burst
5876,20203,273,1521,45869,Sorted,Long burst
3776,19204,816,3153,33229,Sorted,Medium burst
3480,18530,120,376,37575,Reverse Sorted,Medium burst
8811,4409,564,123,38504,Random,Medium burst
8882,8515,859,300,22341,Random,Short burst
1150,3920,247,2547,16375,Constant,Short burst
3733,48153,900,2452,31106,Random,Long burst
6442,17240,466,4678,37651,Sorted,Long burst
1059,40753,910,345,26905,Sorted,Medium burst
6159,30828,768,347,1091,Reverse Sorted,Short burst
8984,19965,525,351,2884,Random,Short burst
5755,4631,885,4657,14432,Random,Short burst
4573,11152,870,634,48050,Sorted,Long burst
3046,22007,906,3674,20505,Reverse Sorted,Medium burst
7825,47647,871,1684,15202,Constant,Medium burst
626,48171,833,102,11231,Constant,Medium burst
3324,49181,182,2326,41410,Reverse Sorted,Very long burst
1975,24306,202,2737,41720,Reverse Sorted,Long burst
1863,19671,524,2894,10595,Constant,Short burst
8812,21093,799,4936,21087,Sorted,Medium burst
5897,9970,977,4640,5482,Random,Very short burst
9308,44808,577,4998,35749,Constant,Very long burst
7199,21826,795,2768,14918,Reverse Sorted,Short burst
5209,5097,418,3985,30984,Reverse Sorted,Medium burst
6744,37804,697,712,43752,Random,Very long burst
216,31288,637,57,16813,Reverse Sorted,Short burst
2533,49977,93,3733,5466,Sorted,Medium burst
5563,43225,680,3137,35999,Reverse Sorted,Long burst
683,37430,807,4811,23165,Random,Medium burst
8686,33571,89,718,42164,Constant,Long burst
3888,5567,587,3214,14241,Sorted,Short burst
4267,5524,218,1335,44179,Reverse Sorted,Medium burst
8565,8215,531,3670,14112,Random,Short burst
1489,32270,208,210,25797,Constant,Medium burst
8457,11726,580,2448,10383,Constant,Short burst
9859,35899,243,3295,20699,Random,Medium burst
6254,13912,828,67,12481,Constant,Short burst
5520,48305,253,2583,6175,Constant,Medium burst
9020,44915,900,4496,18982,Constant,Long burst
2143,13069,402,2625,32334,Constant,Medium burst
4297,2869,575,2367,18926,Random,Short burst
3596,44927,455,2968,9333,Random,Medium burst
878,32521,858,1103,15460,Reverse Sorted,Medium burst
313,1028,402,365,1089,Reverse Sorted,Very short burst
3862,43770,18,4882,29561,Sorted,Long burst
9868,30814,622,2261,21790,Constant,Medium burst
6831,37943,929,369,6490,Constant,Medium burst
3217,18547,816,4577,49055,Sorted,Long burst
5891,20248,724,2765,44223,Random,Long burst
8883,35609,913,683,12704,Random,Medium burst
2820,14419,162,1755,33627,Sorted,Medium burst
9005,47998,119,4870,18593,Reverse Sorted,Long burst
9227,15756,843,722,38746,Reverse Sorted,Long burst
6147,5405,275,2329,36992,Constant,Medium burst
8132,48807,382,3597,38624,Reverse Sorted,Very long burst
101,48523,161,520,25177,Random,Long burst
6468,9384,985,3281,23623,Sorted,Short burst
2049,29406,604,2657,26935,Sorted,Medium burst
6832,42411,964,3382,1148,Sorted,Short burst
7933,6450,424,2670,16263,Reverse Sorted,Short burst
1017,1860,916,4747,25449,Sorted,Short burst
3274,38395,655,1432,25083,Sorted,Medium burst
7114,22446,335,4425,32602,Reverse Sorted,Medium burst
189,47520,681,1235,43314,Random,Very long burst
1809,9230,560,1960,14538,Constant,Short burst
3141,22661,185,965,47883,Random,Long burst
205,28238,534,1667,27981,Reverse Sorted,Medium burst
9178,4425,324,1733,49956,Sorted,Long burst
8719,8963,76,2475,3363,Constant,Very short burst
1995,17912,961,475,28508,Random,Medium burst
6190,22902,769,1837,4107,Constant,Short burst
8608,34510,562,2634,6628,Random,Medium burst
6182,26217,193,4698,2451,Random,Short burst
734,42052,44,218,49963,Reverse Sorted,Very long burst
2025,10297,943,564,42409,Random,Medium burst
2156,21094,514,3485,16180,Sorted,Short burst
7017,6906,858,4575,13377,Reverse Sorted,Short burst
3244,14465,972,2666,44548,Constant,Long burst
9731,14233,811,2427,21319,Reverse Sorted,Medium burst
652,27426,85,740,31685,Random,Medium burst
9007,29283,481,3254,24214,Constant,Medium burst
5483,18324,591,2554,32113,Sorted,Medium burst
4011,36894,755,402,18673,Reverse Sorted,Medium burst
3489,43342,532,1167,32877,Random,Long burst
9399,28787,889,1455,36865,Constant,Long burst
8542,17068,292,3989,47356,Sorted,Long burst
2530,30936,825,4224,19531,Sorted,Medium burst
558,21880,545,727,10657,Reverse Sorted,Short burst
307,25296,283,600,5520,Constant,Short burst
999,8531,548,869,47109,Random,Medium burst
121,22447,63,263,37484,Constant,Medium burst
8701,3688,64,1716,30577,Sorted,Medium burst
994,26169,897,4814,48599,Constant,Long burst
614,36213,754,943,31558,Reverse Sorted,Long burst
7394,32313,286,4304,42610,Constant,Long burst
5004,7265,452,4126,30669,Constant,Medium burst
7967,23671,892,3955,28838,Reverse Sorted,Medium burst
4209,11307,427,2836,2210,Constant,Very short burst
7279,10704,641,2298,35955,Reverse Sorted,Medium burst
1660,27566,234,71,9058,Reverse Sorted,Short burst
1366,42620,579,3363,44304,Reverse Sorted,Very long burst
3738,37867,264,1311,33699,Sorted,Long burst
9041,23158,185,1222,12463,Constant,Short burst
3527,37581,575,4930,3843,Reverse Sorted,Short burst
4880,35486,155,2104,15335,Random,Medium burst
2027,14286,780,1942,20834,Random,Short burst
